LPF_Band,Fundamental_Freq_MHz,Harmonic_Order,Harmonic_Freq_MHz,Level_dBc
LPF_1_160m,2.0,1,2.0,0.0
LPF_1_160m,2.0,2,4.0,-19.5
LPF_1_160m,2.0,3,6.0,-24.5
LPF_1_160m,2.0,4,8.0,-29.5
LPF_1_160m,2.0,5,10.0,-34.0
LPF_2_80m,4.0,1,4.0,0.0
LPF_2_80m,4.0,2,8.0,-22.0
LPF_2_80m,4.0,3,12.0,-26.5
LPF_2_80m,4.0,4,16.0,-30.9
LPF_2_80m,4.0,5,20.0,-34.8
LPF_3_60m,5.5,1,5.5,0.0
LPF_3_60m,5.5,2,11.0,-22.5
LPF_3_60m,5.5,3,16.5,-27.4
LPF_3_60m,5.5,4,22.0,-31.4
LPF_3_60m,5.5,5,27.5,-34.6
LPF_4_40m,7.5,1,7.5,0.0
LPF_4_40m,7.5,2,15.0,-20.4
LPF_4_40m,7.5,3,22.5,-25.1
LPF_4_40m,7.5,4,30.0,-29.3
LPF_4_40m,7.5,5,37.5,-32.8
LPF_5_30m,10.5,1,10.5,0.0
LPF_5_30m,10.5,2,21.0,-21.5
LPF_5_30m,10.5,3,31.5,-26.2
LPF_5_30m,10.5,4,42.0,-30.3
LPF_5_30m,10.5,5,52.5,-33.7
LPF_6_20m,15.1,1,15.1,0.0
LPF_6_20m,15.1,2,30.2,-22.3
LPF_6_20m,15.1,3,45.3,-27.2
LPF_6_20m,15.1,4,60.4,-31.2
LPF_6_20m,15.1,5,75.5,-34.4
LPF_7_17m_15m,21.5,1,21.5,0.0
LPF_7_17m_15m,21.5,2,43.0,-20.5
LPF_7_17m_15m,21.5,3,64.5,-25.3
LPF_7_17m_15m,21.5,4,86.0,-29.5
LPF_7_17m_15m,21.5,5,107.5,-33.0
LPF_8_12m_10m,29.7,1,29.7,0.0
LPF_8_12m_10m,29.7,2,59.4,-22.0
LPF_8_12m_10m,29.7,3,89.1,-26.5
LPF_8_12m_10m,29.7,4,118.8,-30.9
LPF_8_12m_10m,29.7,5,148.5,-34.8
